code,location,start_date,end_date,no2,period
144-15,Turnhoutsebaan DE Oost,2021-06-19 20:35:00+02:00,2021-07-17 14:35:00+02:00,27,7
144-16,Turnhoutsebaan DE Oost,2021-06-19 20:35:00+02:00,2021-07-17 14:35:00+02:00,29,7
144-17,Provinciestraat Zuid,2021-06-19 17:29:00+02:00,2021-07-17 15:58:00+02:00,29,7
144-18,Provinciestraat Zuid,2021-06-19 17:29:00+02:00,2021-07-17 15:58:00+02:00,30,7
144-19,VMM Belgiëlei,2021-06-19 17:11:00+02:00,2021-07-17 15:35:00+02:00,25,7
144-20,VMM Belgiëlei,2021-06-19 17:11:00+02:00,2021-07-17 15:35:00+02:00,25,7
144-21,Provinciestraat Noord,2021-06-19 17:22:00+02:00,2021-07-17 15:51:00+02:00,30,7
144-22,Provinciestraat Noord,2021-06-19 17:22:00+02:00,2021-07-17 15:51:00+02:00,30,7
144-23,Pothoekstraat Zuid,2021-06-19 08:51:00+02:00,2021-07-17 08:49:00+02:00,30,7
144-24,Pothoekstraat Zuid,2021-06-19 08:51:00+02:00,2021-07-17 08:49:00+02:00,31,7
144-25,Pothoekstraat Noord,2021-06-19 08:49:00+02:00,2021-07-17 08:45:00+02:00,41,7
144-26,Pothoekstraat Noord,2021-06-19 08:49:00+02:00,2021-07-17 08:45:00+02:00,41,7
144-27,Borsbeekstraat Zuid,2021-06-19 08:36:00+02:00,2021-07-17 08:37:00+02:00,28,7
144-28,Borsbeekstraat Zuid,2021-06-19 08:36:00+02:00,2021-07-17 08:37:00+02:00,28,7
144-29,Borsbeekstraat Noord,2021-06-19 08:33:00+02:00,2021-07-17 08:34:00+02:00,31,7
144-30,Borsbeekstraat Noord,2021-06-19 08:33:00+02:00,2021-07-17 08:34:00+02:00,31,7
144-31,Klappeistraat,2021-06-19 08:55:00+02:00,2021-07-17 08:52:00+02:00,18,7
144-32,Klappeistraat,2021-06-19 08:55:00+02:00,2021-07-17 08:52:00+02:00,19,7
144-33,Gijselstraat,2021-06-19 08:39:00+02:00,2021-07-17 08:40:00+02:00,26,7
144-34,Gijselstraat,2021-06-19 08:39:00+02:00,2021-07-17 08:40:00+02:00,26,7
144-35,Sint-Bernardsesteenweg,2021-06-18 22:05:00+02:00,2021-07-17 22:18:00+02:00,32,7
144-36,Sint-Bernardsesteenweg,2021-06-18 22:05:00+02:00,2021-07-17 22:18:00+02:00,28,7
144-37,Abdijstraat,2021-06-18 21:59:00+02:00,2021-07-17 22:22:00+02:00,31,7
144-38,Abdijstraat,2021-06-18 21:59:00+02:00,2021-07-17 22:22:00+02:00,32,7
144-39,Nationalestraat Zuid,2021-06-18 17:30:00+02:00,2021-07-18 10:01:00+02:00,32,7
144-40,Nationalestraat Zuid,2021-06-18 17:31:00+02:00,2021-07-18 10:02:00+02:00,32,7
144-41,Nationalestraat Noord,2021-06-18 17:36:00+02:00,2021-07-18 10:06:00+02:00,27,7
144-42,Nationalestraat Noord,2021-06-18 17:37:00+02:00,2021-07-18 10:07:00+02:00,26,7
144-43,Cassiersstraat Oost,2021-06-18 12:05:00+02:00,2021-07-16 14:09:00+02:00,26,7
144-44,Cassiersstraat West,2021-06-18 12:10:00+02:00,2021-07-16 14:13:00+02:00,33,7
144-45,Cassiersstraat Oost,2021-06-18 12:05:00+02:00,2021-07-16 14:09:00+02:00,27,7
144-46,Cassiersstraat West,2021-06-18 12:10:00+02:00,2021-07-16 14:13:00+02:00,34,7
144-47,VMM Groenenborger,2021-06-20 18:34:00+02:00,2021-07-16 16:30:00+02:00,17,7
144-48,VMM Groenenborger,2021-06-20 18:34:00+02:00,2021-07-16 16:30:00+02:00,17,7
251_1,Deurnsebaan Noord,2021-07-17 11:28:00+02:00,2021-08-13 11:56:00+02:00,29,8
251_2,Deurnsebaan Noord,2021-07-17 11:28:00+02:00,2021-08-13 11:56:00+02:00,31,8
251_3,Deurnsebaan Zuid,2021-07-17 11:26:00+02:00,2021-08-13 11:54:00+02:00,36,8
251_4,Deurnsebaan Zuid,2021-07-17 11:26:00+02:00,2021-08-13 11:54:00+02:00,33,8
251_5,Van de Perre Zuid,2021-07-16 15:24:00+02:00,2021-08-13 19:28:00+02:00,23,8
251_6,Van de Perre Zuid,2021-07-16 15:25:00+02:00,2021-08-13 19:28:00+02:00,23,8
251_7,Van de Perre Noord,2021-07-16 15:30:00+02:00,2021-08-13 19:34:00+02:00,26,8
251_8,Van de Perre Noord,2021-07-16 15:31:00+02:00,2021-08-13 19:34:00+02:00,18,8
251_9,Turnhoutsebaan BO West,2021-07-17 16:22:00+02:00,2021-08-15 17:29:00+02:00,30,8
251_10,Turnhoutsebaan BO West,2021-07-17 16:22:00+02:00,2021-08-15 17:29:00+02:00,30,8
251_11,Turnhoutsebaan BO Oost,2021-07-17 16:31:00+02:00,2021-08-15 17:35:00+02:00,28,8
251_12,Turnhoutsebaan BO Oost,2021-07-17 16:31:00+02:00,2021-08-15 17:35:00+02:00,26,8
251_13,Turnhoutsebaan DE Oost,2021-07-17 14:35:00+02:00,2021-08-16 11:00:00+02:00,26,8
251_14,Turnhoutsebaan DE Oost,2021-07-17 14:35:00+02:00,2021-08-16 11:00:00+02:00,25,8
251_15,Turnhoutsebaan DE West,2021-07-17 14:40:00+02:00,2021-08-16 11:05:00+02:00,26,8
251_16,Turnhoutsebaan DE West,2021-07-17 14:40:00+02:00,2021-08-16 11:05:00+02:00,26,8
251_17,Provinciestraat Zuid,2021-07-17 15:58:00+02:00,2021-08-14 11:44:00+02:00,23,8
251_18,Provinciestraat Zuid,2021-07-17 15:58:00+02:00,2021-08-14 11:44:00+02:00,24,8
251_19,VMM Belgiëlei,2021-07-17 15:35:00+02:00,2021-08-14 11:36:00+02:00,20,8
251_20,VMM Belgiëlei,2021-07-17 15:35:00+02:00,2021-08-14 11:36:00+02:00,19,8
251_21,Provinciestraat Noord,2021-07-17 15:51:00+02:00,2021-08-14 11:51:00+02:00,25,8
251_22,Provinciestraat Noord,2021-07-17 15:51:00+02:00,2021-08-14 11:51:00+02:00,24,8
251_23,Pothoekstraat Zuid,2021-07-17 08:49:00+02:00,2021-08-15 08:52:00+02:00,26,8
251_24,Pothoekstraat Zuid,2021-07-17 08:49:00+02:00,2021-08-15 08:52:00+02:00,26,8
251_25,Pothoekstraat Noord,2021-07-17 08:45:00+02:00,2021-08-15 08:50:00+02:00,32,8
251_26,Pothoekstraat Noord,2021-07-17 08:45:00+02:00,2021-08-15 08:50:00+02:00,33,8
251_27,Borsbeekstraat Zuid,2021-07-17 08:37:00+02:00,2021-08-15 08:40:00+02:00,23,8
251_28,Borsbeekstraat Zuid,2021-07-17 08:37:00+02:00,2021-08-15 08:40:00+02:00,23,8
251_29,Borsbeekstraat Noord,2021-07-17 08:34:00+02:00,2021-08-15 08:38:00+02:00,22,8
251_30,Borsbeekstraat Noord,2021-07-17 08:34:00+02:00,2021-08-15 08:38:00+02:00,19,8
251_31,Klappeistraat,2021-07-17 08:52:00+02:00,2021-08-15 08:52:00+02:00,12,8
251_32,Klappeistraat,2021-07-17 08:52:00+02:00,2021-08-15 08:52:00+02:00,14,8
251_33,Gijselstraat,2021-07-17 08:40:00+02:00,2021-08-15 08:44:00+02:00,20,8
251_34,Gijselstraat,2021-07-17 08:40:00+02:00,2021-08-15 08:44:00+02:00,20,8
251_35,Sint-Bernardsesteenweg,2021-07-17 22:18:00+02:00,2021-08-14 23:02:00+02:00,26,8
251_36,Sint-Bernardsesteenweg,2021-07-17 22:18:00+02:00,2021-08-14 23:02:00+02:00,29,8
251_37,Abdijstraat,2021-07-17 22:22:00+02:00,2021-08-14 22:57:00+02:00,26,8
251_38,Abdijstraat,2021-07-17 22:22:00+02:00,2021-08-14 22:57:00+02:00,26,8
251_39,Nationalestraat Zuid,2021-07-18 10:01:00+02:00,2021-08-16 11:01:00+02:00,29,8
251_40,Nationalestraat Zuid,2021-07-18 10:02:00+02:00,2021-08-16 11:02:00+02:00,29,8
251_41,Nationalestraat Noord,2021-07-18 10:06:00+02:00,2021-08-16 11:06:00+02:00,24,8
251_42,Nationalestraat Noord,2021-07-18 10:07:00+02:00,2021-08-16 11:07:00+02:00,28,8
251_43,Cassiersstraat West,2021-07-16 14:09:00+02:00,2021-08-14 12:57:00+02:00,25,8
251_44,Cassiersstraat West,2021-07-16 14:13:00+02:00,2021-08-14 12:57:00+02:00,26,8
251_45,Cassiersstraat Oost,2021-07-16 14:09:00+02:00,2021-08-14 12:53:00+02:00,23,8
251_46,Cassiersstraat Oost,2021-07-16 14:13:00+02:00,2021-08-14 12:53:00+02:00,23,8
251_47,VMM Groenenborger,2021-07-16 16:30:00+02:00,2021-08-13 10:50:00+02:00,13,8
251_48,VMM Groenenborger,2021-07-16 16:30:00+02:00,2021-08-13 10:50:00+02:00,13,8
251_49,Van Maerlant,2021-07-17 12:00:00+02:00,2021-08-15 12:24:00+02:00,34,8
251_50,Van Maerlant,2021-07-17 12:00:00+02:00,2021-08-15 12:24:00+02:00,26,8
251_51,Kennedy_lift,2021-07-17 11:49:00+02:00,2021-08-14 23:18:00+02:00,21,8
251_52,Kennedy_lift,2021-07-17 11:49:00+02:00,2021-08-14 23:18:00+02:00,21,8
251_53,Kennedy_mid,2021-07-17 11:37:00+02:00,2021-08-14 23:22:00+02:00,27,8
251_54,Kennedy_mid,2021-07-17 11:37:00+02:00,2021-08-14 23:22:00+02:00,28,8
252-1,Deurnsebaan Noord,2021-08-13 11:56:00+02:00,2021-09-11 12:29:00+02:00,41,9
252-2,Deurnsebaan Noord,2021-08-13 11:56:00+02:00,2021-09-11 12:29:00+02:00,39,9
252-3,Deurnsebaan Zuid,2021-08-13 11:54:00+02:00,2021-09-11 12:31:00+02:00,43,9
252-4,Deurnsebaan Zuid,2021-08-13 11:54:00+02:00,2021-09-11 12:31:00+02:00,42,9
252-5,Van de Perre Zuid,2021-08-13 19:28:00+02:00,2021-09-10 10:23:00+02:00,26,9
252-6,Van de Perre Zuid,2021-08-13 19:28:00+02:00,2021-09-10 10:23:00+02:00,26,9
252-7,Van de Perre Noord,2021-08-13 19:34:00+02:00,2021-09-10 10:27:00+02:00,31,9
252-8,Van de Perre Noord,2021-08-13 19:34:00+02:00,2021-09-10 10:27:00+02:00,36,9
252-9,Turnhoutsebaan BO West,2021-08-15 17:29:00+02:00,2021-09-12 10:29:00+02:00,30,9
252-10,Turnhoutsebaan BO West,2021-08-15 17:29:00+02:00,2021-09-12 10:29:00+02:00,30,9
252-11,Turnhoutsebaan BO Oost,2021-08-15 17:35:00+02:00,2021-09-12 10:35:00+02:00,34,9
252-12,Turnhoutsebaan BO Oost,2021-08-15 17:35:00+02:00,2021-09-12 10:35:00+02:00,33,9
252-13,Turnhoutsebaan DE Oost,2021-08-16 11:00:00+02:00,2021-09-10 18:45:00+02:00,27,9
252-14,Turnhoutsebaan DE Oost,2021-08-16 11:00:00+02:00,2021-09-10 18:45:00+02:00,27,9
252-15,Turnhoutsebaan DE West,2021-08-16 11:05:00+02:00,2021-09-10 18:50:00+02:00,27,9
252-16,Turnhoutsebaan DE West,2021-08-16 11:05:00+02:00,2021-09-10 18:50:00+02:00,27,9
252-17,Provinciestraat Zuid,2021-08-14 11:44:00+02:00,2021-09-11 14:50:00+02:00,31,9
252-18,Provinciestraat Zuid,2021-08-14 11:44:00+02:00,2021-09-11 14:50:00+02:00,31,9
252-19,VMM Belgiëlei,2021-08-14 11:36:00+02:00,2021-09-11 14:38:00+02:00,23,9
252-20,VMM Belgiëlei,2021-08-14 11:36:00+02:00,2021-09-11 14:38:00+02:00,25,9
252-21,Provinciestraat Noord,2021-08-14 11:51:00+02:00,2021-09-11 15:01:00+02:00,27,9
252-22,Provinciestraat Noord,2021-08-14 11:51:00+02:00,2021-09-11 15:01:00+02:00,28,9
252-23,Pothoekstraat Zuid,2021-08-15 08:52:00+02:00,2021-09-13 09:04:00+02:00,30,9
252-24,Pothoekstraat Zuid,2021-08-15 08:52:00+02:00,2021-09-13 09:04:00+02:00,30,9
252-25,Pothoekstraat Noord,2021-08-15 08:50:00+02:00,2021-09-13 09:00:00+02:00,36,9
252-26,Pothoekstraat Noord,2021-08-15 08:50:00+02:00,2021-09-13 09:00:00+02:00,35,9
252-27,Borsbeekstraat Zuid,2021-08-15 08:40:00+02:00,2021-09-13 08:46:00+02:00,26,9
252-28,Borsbeekstraat Zuid,2021-08-15 08:40:00+02:00,2021-09-13 08:46:00+02:00,26,9
252-29,Borsbeekstraat Noord,2021-08-15 08:38:00+02:00,2021-09-13 08:40:00+02:00,28,9
252-30,Borsbeekstraat Noord,2021-08-15 08:38:00+02:00,2021-09-13 08:40:00+02:00,27,9
252-31,Klappeistraat,2021-08-15 08:52:00+02:00,2021-09-13 09:11:00+02:00,16,9
252-32,Klappeistraat,2021-08-15 08:52:00+02:00,2021-09-13 09:11:00+02:00,16,9
252-33,Gijselstraat,2021-08-15 08:44:00+02:00,2021-09-13 08:35:00+02:00,24,9
252-34,Gijselstraat,2021-08-15 08:44:00+02:00,2021-09-13 08:35:00+02:00,24,9
252-35,Sint-Bernardsesteenweg,2021-08-14 23:02:00+02:00,2021-09-11 21:55:00+02:00,29,9
252-36,Sint-Bernardsesteenweg,2021-08-14 23:02:00+02:00,2021-09-11 21:55:00+02:00,29,9
252-37,Abdijstraat,2021-08-14 22:57:00+02:00,2021-09-11 21:58:00+02:00,28,9
252-38,Abdijstraat,2021-08-14 22:57:00+02:00,2021-09-11 21:58:00+02:00,28,9
252-39,Nationalestraat Zuid,2021-08-16 11:01:00+02:00,2021-09-12 11:01:00+02:00,30,9
252-40,Nationalestraat Zuid,2021-08-16 11:02:00+02:00,2021-09-12 11:01:00+02:00,29,9
252-41,Nationalestraat Noord,2021-08-16 11:06:00+02:00,2021-09-12 11:07:00+02:00,29,9
252-42,Nationalestraat Noord,2021-08-16 11:07:00+02:00,2021-09-12 11:07:00+02:00,28,9
252-43,Cassiersstraat Oost,2021-08-14 12:53:00+02:00,2021-09-10 11:34:00+02:00,24,9
252-44,Cassiersstraat Oost,2021-08-14 12:53:00+02:00,2021-09-10 11:34:00+02:00,24,9
252-45,Cassiersstraat West,2021-08-14 12:57:00+02:00,2021-09-10 11:42:00+02:00,29,9
252-46,Cassiersstraat West,2021-08-14 12:57:00+02:00,2021-09-10 11:42:00+02:00,34,9
252-47,VMM Groenenborger,2021-08-13 10:50:00+02:00,2021-09-13 17:50:00+02:00,17,9
252-48,VMM Groenenborger,2021-08-13 10:50:00+02:00,2021-09-13 17:50:00+02:00,15,9
252-49,Van Maerlant,2021-08-15 12:24:00+02:00,2021-09-10 10:05:00+02:00,35,9
252-50,Van Maerlant,2021-08-15 12:24:00+02:00,2021-09-10 10:05:00+02:00,36,9
252-51,Kennedy_lift,2021-08-14 23:18:00+02:00,2021-09-11 22:12:00+02:00,26,9
252-52,Kennedy_lift,2021-08-14 23:18:00+02:00,2021-09-11 22:12:00+02:00,27,9
252-53,Kennedy_mid,2021-08-14 23:22:00+02:00,2021-09-11 22:15:00+02:00,37,9
252-54,Kennedy_mid,2021-08-14 23:22:00+02:00,2021-09-11 22:15:00+02:00,37,9
253-1,Deurnsebaan Noord,2021-09-11 12:29:00+02:00,2021-10-09 09:32:00+02:00,38,10
253-2,Deurnsebaan Noord,2021-09-11 12:29:00+02:00,2021-10-09 09:32:00+02:00,39,10
253-3,Deurnsebaan Zuid,2021-09-11 12:31:00+02:00,2021-10-09 09:31:00+02:00,44,10
253-4,Deurnsebaan Zuid,2021-09-11 12:31:00+02:00,2021-10-09 09:31:00+02:00,44,10
253-5,Van de Perre Zuid,2021-09-10 10:23:00+02:00,2021-10-08 09:17:00+02:00,35,10
253-6,Van de Perre Zuid,2021-09-10 10:23:00+02:00,2021-10-08 09:17:00+02:00,35,10
253-7,Van de Perre Noord,2021-09-10 10:27:00+02:00,2021-10-08 09:22:00+02:00,35,10
253-8,Van de Perre Noord,2021-09-10 10:27:00+02:00,2021-10-08 09:22:00+02:00,34,10
253-9,Turnhoutsebaan BO West,2021-09-12 10:29:00+02:00,2021-10-09 14:36:00+02:00,36,10
253-10,Turnhoutsebaan BO West,2021-09-12 10:29:00+02:00,2021-10-09 14:36:00+02:00,37,10
253-11,Turnhoutsebaan BO Oost,2021-09-12 10:35:00+02:00,2021-10-09 14:14:00+02:00,36,10
253-12,Turnhoutsebaan BO Oost,2021-09-12 10:35:00+02:00,2021-10-09 14:14:00+02:00,35,10
253-13,Turnhoutsebaan DE Oost,2021-09-10 18:45:00+02:00,2021-10-12 12:03:00+02:00,35,10
253-14,Turnhoutsebaan DE Oost,2021-09-10 18:45:00+02:00,2021-10-12 12:03:00+02:00,36,10
253-15,Turnhoutsebaan DE West,2021-09-10 18:50:00+02:00,2021-10-12 12:10:00+02:00,39,10
253-16,Turnhoutsebaan DE West,2021-09-10 18:50:00+02:00,2021-10-12 12:10:00+02:00,38,10
253-17,Provinciestraat Zuid,2021-09-11 14:50:00+02:00,2021-10-09 14:41:00+02:00,35,10
253-18,Provinciestraat Zuid,2021-09-11 14:50:00+02:00,2021-10-09 14:41:00+02:00,35,10
253-19,VMM Belgiëlei,2021-09-11 14:38:00+02:00,2021-10-09 14:57:00+02:00,29,10
253-20,VMM Belgiëlei,2021-09-11 14:38:00+02:00,2021-10-09 14:57:00+02:00,30,10
253-21,Provinciestraat Noord,2021-09-11 15:01:00+02:00,2021-10-09 14:47:00+02:00,36,10
253-22,Provinciestraat Noord,2021-09-11 15:01:00+02:00,2021-10-09 14:47:00+02:00,35,10
253-23,Pothoekstraat Zuid,2021-09-13 09:04:00+02:00,2021-10-09 08:53:00+02:00,35,10
253-24,Pothoekstraat Zuid,2021-09-13 09:04:00+02:00,2021-10-09 08:53:00+02:00,35,10
253-25,Pothoekstraat Noord,2021-09-13 09:00:00+02:00,2021-10-09 08:48:00+02:00,41,10
253-26,Pothoekstraat Noord,2021-09-13 09:00:00+02:00,2021-10-09 08:48:00+02:00,39,10
253-27,Borsbeekstraat Zuid,2021-09-13 08:46:00+02:00,2021-10-09 08:40:00+02:00,35,10
253-28,Borsbeekstraat Zuid,2021-09-13 08:46:00+02:00,2021-10-09 08:40:00+02:00,34,10
253-29,Borsbeekstraat Noord,2021-09-13 08:40:00+02:00,2021-10-09 08:37:00+02:00,35,10
253-30,Borsbeekstraat Noord,2021-09-13 08:40:00+02:00,2021-10-09 08:37:00+02:00,34,10
253-31,Klappeistraat,2021-09-13 09:11:00+02:00,2021-10-09 08:58:00+02:00,22,10
253-32,Klappeistraat,2021-09-13 09:11:00+02:00,2021-10-09 08:58:00+02:00,24,10
253-33,Gijselstraat,2021-09-13 08:35:00+02:00,2021-10-09 08:43:00+02:00,30,10
253-34,Gijselstraat,2021-09-13 08:35:00+02:00,2021-10-09 08:43:00+02:00,30,10
253-35,Sint-Bernardsesteenweg,2021-09-11 21:55:00+02:00,2021-10-10 23:17:00+02:00,36,10
253-36,Sint-Bernardsesteenweg,2021-09-11 21:55:00+02:00,2021-10-10 23:17:00+02:00,34,10
253-37,Abdijstraat,2021-09-11 21:58:00+02:00,2021-10-10 23:21:00+02:00,32,10
253-38,Abdijstraat,2021-09-11 21:58:00+02:00,2021-10-10 23:21:00+02:00,34,10
253-39,Nationalestraat Zuid,2021-09-12 11:01:00+02:00,2021-10-08 10:03:00+02:00,36,10
253-40,Nationalestraat Zuid,2021-09-12 11:01:00+02:00,2021-10-08 10:04:00+02:00,35,10
253-41,Nationalestraat Noord,2021-09-12 11:07:00+02:00,2021-10-08 11:08:00+02:00,33,10
253-42,Nationalestraat Noord,2021-09-12 11:07:00+02:00,2021-10-08 11:09:00+02:00,32,10
253-43,Cassiersstraat West,2021-09-10 11:42:00+02:00,2021-10-09 12:34:00+02:00,37,10
253-44,Cassiersstraat Oost,2021-09-10 11:42:00+02:00,2021-10-09 12:28:00+02:00,34,10
253-45,Cassiersstraat Oost,2021-09-10 11:34:00+02:00,2021-10-09 12:28:00+02:00,36,10
253-46,Cassiersstraat West,2021-09-10 11:34:00+02:00,2021-10-09 12:34:00+02:00,36,10
253-47,VMM Groenenborger,2021-09-13 17:50:00+02:00,2021-10-08 14:39:00+02:00,20,10
253-48,VMM Groenenborger,2021-09-13 17:50:00+02:00,2021-10-08 14:39:00+02:00,19,10
253-49,Van Maerlant,2021-09-10 10:05:00+02:00,2021-10-10 12:10:00+02:00,44,10
253-50,Van Maerlant,2021-09-10 10:05:00+02:00,2021-10-10 12:10:00+02:00,43,10
253-51,Kennedy_lift,2021-09-11 22:12:00+02:00,2021-10-10 23:36:00+02:00,28,10
253-52,Kennedy_lift,2021-09-11 22:12:00+02:00,2021-10-10 23:36:00+02:00,28,10
253-53,Kennedy_mid,2021-09-11 22:15:00+02:00,2021-10-10 23:38:00+02:00,35,10
253-54,Kennedy_mid,2021-09-11 22:15:00+02:00,2021-10-10 23:38:00+02:00,36,10
365_1,Deurnsebaan Noord,2021-10-09 09:32:00+02:00,2021-11-06 11:08:00+01:00,39,11
365_2,Deurnsebaan Noord,2021-10-09 09:32:00+02:00,2021-11-06 11:08:00+01:00,40,11
365_3,Deurnsebaan Zuid,2021-10-09 09:31:00+02:00,2021-11-06 11:07:00+01:00,41,11
365_4,Deurnsebaan Zuid,2021-10-09 09:31:00+02:00,2021-11-06 11:07:00+01:00,43,11
365_5,Van de Perre Zuid,2021-10-08 09:17:00+02:00,2021-11-05 10:26:00+01:00,36,11
365_6,Van de Perre Zuid,2021-10-08 09:17:00+02:00,2021-11-05 10:26:00+01:00,37,11
365_7,Van de Perre Noord,2021-10-08 09:22:00+02:00,2021-11-05 10:34:00+01:00,35,11
365_8,Van de Perre Noord,2021-10-08 09:22:00+02:00,2021-11-05 10:34:00+01:00,35,11
365_9,Turnhoutsebaan BO West,2021-10-09 14:36:00+02:00,2021-11-07 14:10:00+01:00,37,11
365_10,Turnhoutsebaan BO West,2021-10-09 14:36:00+02:00,2021-11-07 14:10:00+01:00,37,11
365_11,Turnhoutsebaan BO Oost,2021-10-09 14:14:00+02:00,2021-11-07 14:16:00+01:00,33,11
365_12,Turnhoutsebaan BO Oost,2021-10-09 14:14:00+02:00,2021-11-07 14:16:00+01:00,34,11
365_13,Turnhoutsebaan DE Oost,2021-10-12 12:03:00+02:00,2021-11-07 18:20:00+01:00,37,11
365_14,Turnhoutsebaan DE Oost,2021-10-12 12:03:00+02:00,2021-11-07 18:20:00+01:00,37,11
365_15,Turnhoutsebaan DE West,2021-10-12 12:10:00+02:00,2021-11-07 18:23:00+01:00,39,11
365_16,Turnhoutsebaan DE West,2021-10-12 12:10:00+02:00,2021-11-07 18:23:00+01:00,40,11
365_17,Provinciestraat Zuid,2021-10-09 14:41:00+02:00,2021-11-06 11:11:00+01:00,35,11
365_18,Provinciestraat Zuid,2021-10-09 14:41:00+02:00,2021-11-06 11:11:00+01:00,35,11
365_19,VMM Belgiëlei,2021-10-09 14:57:00+02:00,2021-11-06 10:52:00+01:00,33,11
365_20,VMM Belgiëlei,2021-10-09 14:57:00+02:00,2021-11-06 10:52:00+01:00,30,11
365_21,Provinciestraat Noord,2021-10-09 14:47:00+02:00,2021-11-06 11:03:00+01:00,37,11
365_22,Provinciestraat Noord,2021-10-09 14:47:00+02:00,2021-11-06 11:03:00+01:00,39,11
365_23,Pothoekstraat Zuid,2021-10-09 08:53:00+02:00,2021-11-06 09:16:00+01:00,35,11
365_24,Pothoekstraat Zuid,2021-10-09 08:53:00+02:00,2021-11-10 09:47:00+01:00,35,11
365_25,Pothoekstraat Noord,2021-10-09 08:48:00+02:00,2021-11-06 09:15:00+01:00,43,11
365_26,Pothoekstraat Noord,2021-10-09 08:48:00+02:00,2021-11-06 09:15:00+01:00,42,11
365_27,Borsbeekstraat Zuid,2021-10-09 08:40:00+02:00,2021-11-06 09:05:00+01:00,34,11
365_28,Borsbeekstraat Zuid,2021-10-09 08:40:00+02:00,2021-11-06 09:05:00+01:00,36,11
365_29,Borsbeekstraat Noord,2021-10-09 08:37:00+02:00,2021-11-06 09:00:00+01:00,36,11
365_30,Borsbeekstraat Noord,2021-10-09 08:37:00+02:00,2021-11-06 09:00:00+01:00,37,11
365_31,Klappeistraat,2021-10-09 08:58:00+02:00,2021-11-06 09:20:00+01:00,27,11
365_32,Klappeistraat,2021-10-09 08:58:00+02:00,2021-11-06 09:20:00+01:00,27,11
365_33,Gijselstraat,2021-10-09 08:43:00+02:00,2021-11-06 09:10:00+01:00,32,11
365_34,Gijselstraat,2021-10-09 08:43:00+02:00,2021-11-06 09:10:00+01:00,31,11
365_35,Sint-Bernardsesteenweg,2021-10-10 23:17:00+02:00,2021-11-05 22:30:00+01:00,35,11
365_36,Sint-Bernardsesteenweg,2021-10-10 23:17:00+02:00,2021-11-05 22:30:00+01:00,36,11
365_37,Abdijstraat,2021-10-10 23:21:00+02:00,2021-11-05 22:35:00+01:00,33,11
365_38,Abdijstraat,2021-10-10 23:21:00+02:00,2021-11-05 22:35:00+01:00,34,11
365_39,Nationalestraat Zuid,2021-10-08 10:03:00+02:00,2021-11-05 10:54:00+01:00,36,11
365_40,Nationalestraat Zuid,2021-10-08 10:04:00+02:00,2021-11-05 10:54:00+01:00,36,11
365_41,Nationalestraat Noord,2021-10-08 11:08:00+02:00,2021-11-05 10:44:00+01:00,34,11
365_42,Nationalestraat Noord,2021-10-08 11:09:00+02:00,2021-11-05 10:44:00+01:00,34,11
365_43,Cassiersstraat Oost,2021-10-09 12:28:00+02:00,2021-11-07 15:20:00+01:00,38,11
365_44,Cassiersstraat Oost,2021-10-09 12:28:00+02:00,2021-11-07 15:20:00+01:00,37,11
365_45,Cassiersstraat West,2021-10-09 12:34:00+02:00,2021-11-07 15:16:00+01:00,36,11
365_46,Cassiersstraat West,2021-10-09 12:34:00+02:00,2021-11-07 15:16:00+01:00,35,11
365_47,VMM Groenenborger,2021-10-08 14:39:00+02:00,2021-11-06 15:07:00+01:00,24,11
365_48,VMM Groenenborger,2021-10-08 14:39:00+02:00,2021-11-06 15:07:00+01:00,24,11
365_49,Van Maerlant,2021-10-10 12:10:00+02:00,2021-11-07 20:25:00+01:00,45,11
365_50,Van Maerlant,2021-10-10 12:10:00+02:00,2021-11-07 20:25:00+01:00,45,11
365_51,Kennedy_lift,2021-10-10 23:36:00+02:00,2021-11-05 22:52:00+01:00,27,11
365_52,Kennedy_lift,2021-10-10 23:36:00+02:00,2021-11-05 22:52:00+01:00,28,11
365_53,Kennedy_mid,2021-10-10 23:38:00+02:00,2021-11-05 22:57:00+01:00,35,11
365_54,Kennedy_mid,2021-10-10 23:38:00+02:00,2021-11-05 22:57:00+01:00,34,11
366-1,Deurnsebaan Noord,2021-11-06 11:08:00+01:00,2021-12-04 14:19:00+01:00,40,12
366-2,Deurnsebaan Noord,2021-11-06 11:08:00+01:00,2021-12-04 14:19:00+01:00,41,12
366-3,Deurnsebaan Zuid,2021-11-06 11:07:00+01:00,2021-12-04 14:16:00+01:00,44,12
366-4,Deurnsebaan Zuid,2021-11-06 11:07:00+01:00,2021-12-04 14:16:00+01:00,43,12
366-5,Van de Perre Zuid,2021-11-05 10:26:00+01:00,2021-12-03 09:30:00+01:00,40,12
366-6,Van de Perre Zuid,2021-11-05 10:26:00+01:00,2021-12-03 09:30:00+01:00,40,12
366-7,Van de Perre Noord,2021-11-05 10:36:00+01:00,2021-12-03 09:25:00+01:00,38,12
366-8,Van de Perre Noord,2021-11-05 10:36:00+01:00,2021-12-03 09:25:00+01:00,38,12
366-9,Turnhoutsebaan BO West,2021-11-07 14:10:00+01:00,2021-12-05 16:11:00+01:00,40,12
366-10,Turnhoutsebaan BO West,2021-11-07 14:10:00+01:00,2021-12-05 16:11:00+01:00,40,12
