Timestamp,Value,Quality Code
2021-01-02 05:00:00+00:00,1012.61,130
2021-01-02 05:15:00+00:00,1012.64,130
2021-01-02 05:30:00+00:00,1012.7,130
2021-01-02 05:45:00+00:00,1012.73,130
2021-01-02 06:00:00+00:00,1012.66,130
2021-01-02 06:15:00+00:00,1012.82,130
2021-01-02 06:30:00+00:00,1012.85,130
2021-01-02 06:45:00+00:00,1012.96,130
2021-01-02 07:00:00+00:00,1012.97,130
2021-01-02 07:15:00+00:00,1013.09,130
2021-01-02 07:30:00+00:00,1013.21,130
2021-01-02 07:45:00+00:00,1013.29,130
2021-01-02 08:00:00+00:00,1013.33,130
2021-01-02 08:15:00+00:00,1013.41,130
2021-01-02 08:30:00+00:00,1013.52,130
2021-01-02 08:45:00+00:00,1013.75,130
2021-01-02 09:00:00+00:00,1013.77,130
2021-01-02 09:15:00+00:00,1013.81,130
2021-01-02 09:30:00+00:00,1013.92,130
2021-01-02 09:45:00+00:00,1014.03,130
2021-01-02 10:00:00+00:00,1014.03,130
2021-01-02 10:15:00+00:00,1014.09,130
2021-01-02 10:30:00+00:00,1014.17,130
2021-01-02 10:45:00+00:00,1014.11,130
2021-01-02 11:00:00+00:00,1014.1,130
2021-01-02 11:15:00+00:00,1014.02,130
2021-01-02 11:30:00+00:00,1013.92,130
2021-01-02 11:45:00+00:00,1013.78,130
2021-01-02 12:00:00+00:00,1013.67,130
2021-01-02 12:15:00+00:00,1013.59,130
2021-01-02 12:30:00+00:00,1013.43,130
2021-01-02 12:45:00+00:00,1013.29,130
2021-01-02 13:00:00+00:00,1013.16,130
2021-01-02 13:15:00+00:00,1013.13,130
2021-01-02 13:30:00+00:00,1013.14,130
2021-01-02 13:45:00+00:00,1013.1,130
2021-01-02 14:00:00+00:00,1013.08,130
2021-01-02 14:15:00+00:00,1013.14,130
2021-01-02 14:30:00+00:00,1013.19,130
2021-01-02 14:45:00+00:00,1013.32,130
2021-01-02 15:00:00+00:00,1013.37,130
2021-01-02 15:15:00+00:00,1013.45,130
2021-01-02 15:30:00+00:00,1013.5,130
2021-01-02 15:45:00+00:00,1013.47,130
2021-01-02 16:00:00+00:00,1013.5,130
2021-01-02 16:15:00+00:00,1013.58,130
2021-01-02 16:30:00+00:00,1013.59,130
2021-01-02 16:45:00+00:00,1013.63,130
2021-01-02 17:00:00+00:00,1013.73,130
2021-01-02 17:15:00+00:00,1013.81,130
2021-01-02 17:30:00+00:00,1013.88,130
2021-01-02 17:45:00+00:00,1013.99,130
2021-01-02 18:00:00+00:00,1014.0,130
2021-01-02 18:15:00+00:00,1014.01,130
2021-01-02 18:30:00+00:00,1014.05,130
2021-01-02 18:45:00+00:00,1014.1,130
2021-01-02 19:00:00+00:00,1014.16,130
2021-01-02 19:15:00+00:00,1014.04,130
2021-01-02 19:30:00+00:00,1014.03,130
2021-01-02 19:45:00+00:00,1014.09,130
2021-01-02 20:00:00+00:00,1014.05,130
2021-01-02 20:15:00+00:00,1014.16,130
2021-01-02 20:30:00+00:00,1014.23,130
2021-01-02 20:45:00+00:00,1014.29,130
2021-01-02 21:00:00+00:00,1014.22,130
2021-01-02 21:15:00+00:00,1014.17,130
2021-01-02 21:30:00+00:00,1014.12,130
2021-01-02 21:45:00+00:00,1014.11,130
2021-01-02 22:00:00+00:00,1014.16,130
2021-01-02 22:15:00+00:00,1014.17,130
2021-01-02 22:30:00+00:00,1014.18,130
2021-01-02 22:45:00+00:00,1014.19,130
2021-01-02 23:00:00+00:00,1014.24,130
2021-01-02 23:15:00+00:00,1014.37,130
2021-01-02 23:30:00+00:00,1014.48,130
2021-01-02 23:45:00+00:00,1014.5,130
2021-01-03 00:00:00+00:00,1014.48,130
